date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-06/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,165.98108,1.25633,1.0
2000-08-03/2022-12-31,2,13,1,0.999,0.3,208,nsmallest,165.96973,1.25622,0.98
2000-08-03/2022-12-31,2,5,1,1.0,0.3,208,nsmallest,163.92895,1.25553,1.0
2000-08-05/2022-12-31,4,6,1,0.999,0.3,208,nsmallest,163.285,1.25538,0.97
2000-08-09/2022-12-31,2,5,1,1.0,0.3,208,nsmallest,162.60866,1.25529,0.98
2000-08-08/2022-12-31,2,5,1,0.998,0.3,208,nsmallest,161.01892,1.2547,0.99
2000-08-07/2022-12-31,2,5,1,0.998,0.3,208,nsmallest,161.01892,1.25467,0.99
2000-08-01/2022-12-31,7,6,1,1.0,0.3,208,nsmallest,161.54332,1.25464,0.95
2000-08-06/2022-12-31,2,5,1,0.998,0.3,208,nsmallest,161.01892,1.25463,0.99
2000-08-03/2022-12-31,8,3,1,0.998,0.3,208,nsmallest,159.8254,1.25411,1.0
2000-08-02/2022-12-31,6,3,1,1.0,0.3,208,nsmallest,159.24842,1.25387,1.0
2000-08-08/2022-12-31,2,10,1,1.0,0.3,208,nsmallest,158.50161,1.25382,1.0
2000-08-07/2022-12-31,2,10,1,1.0,0.3,208,nsmallest,158.50161,1.25378,1.0
2000-08-06/2022-12-31,2,10,1,1.0,0.3,208,nsmallest,158.50161,1.25375,1.0
2000-08-02/2022-12-31,2,3,1,0.999,0.3,208,nsmallest,157.99913,1.25343,1.0
2000-08-05/2022-12-31,6,8,1,1.0,0.3,208,nsmallest,157.41486,1.25333,0.99
2000-08-07/2022-12-31,5,4,1,0.998,0.3,208,nsmallest,156.58317,1.2531,1.0
2000-08-06/2022-12-31,5,4,1,0.998,0.3,208,nsmallest,156.58317,1.25307,1.0
2000-08-04/2022-12-31,3,5,1,1.0,0.3,208,nsmallest,156.59836,1.25301,0.98
2000-08-07/2022-12-31,4,3,1,0.998,0.3,208,nsmallest,155.47989,1.25271,1.0
2000-08-06/2022-12-31,4,3,1,0.998,0.3,208,nsmallest,155.47989,1.25267,1.0
2000-08-08/2022-12-31,2,5,1,0.999,0.3,208,nsmallest,153.88332,1.25217,0.99
2000-08-07/2022-12-31,2,5,1,0.999,0.3,208,nsmallest,153.88332,1.25213,0.99
2000-08-06/2022-12-31,2,5,1,0.999,0.3,208,nsmallest,153.88332,1.2521,0.99
2000-08-09/2022-12-31,2,3,1,0.999,0.3,208,nsmallest,152.83837,1.25182,0.98
2000-08-04/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,152.83858,1.25165,1.0
2000-08-04/2022-12-31,5,4,1,0.998,0.3,208,nsmallest,151.65944,1.25121,1.0
2000-08-08/2022-12-31,4,3,1,0.998,0.3,208,nsmallest,151.03749,1.25112,0.98
2000-08-03/2022-12-31,4,6,1,1.0,0.3,208,nsmallest,150.90253,1.2509,0.96
2000-08-09/2022-12-31,5,8,1,1.0,0.3,208,nsmallest,149.95586,1.25075,0.99
2000-08-07/2022-12-31,3,3,1,1.0,0.3,208,nsmallest,147.82557,1.24989,1.0
2000-08-06/2022-12-31,3,3,1,1.0,0.3,208,nsmallest,147.82557,1.24985,1.0
2000-08-02/2022-12-31,3,8,1,1.0,0.3,208,nsmallest,146.85193,1.24935,0.97
2000-08-01/2022-12-31,6,5,1,1.0,0.3,208,nsmallest,145.49176,1.2488,0.99
2000-08-03/2022-12-31,2,7,1,1.0,0.3,208,nsmallest,145.19832,1.24875,0.91
2000-08-01/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,144.90002,1.24857,1.0
2000-08-08/2022-12-31,3,3,1,1.0,0.3,208,nsmallest,143.66538,1.24833,1.0
2000-08-02/2022-12-31,2,3,2,1.0,0.3,208,nsmallest,142.65731,1.24773,1.0
2000-08-07/2022-12-31,3,5,2,0.998,0.3,208,nsmallest,141.82166,1.24758,1.0
2000-08-06/2022-12-31,3,5,2,0.998,0.3,208,nsmallest,141.82166,1.24754,1.0
2000-08-02/2022-12-31,5,6,1,0.999,0.3,208,nsmallest,141.77474,1.24739,1.0
2000-08-09/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,140.26609,1.24703,1.0
2000-08-09/2022-12-31,2,3,2,1.0,0.3,208,nsmallest,140.10729,1.24697,0.99
2000-08-01/2022-12-31,7,5,1,1.0,0.3,208,nsmallest,138.33589,1.24599,0.97
2000-08-08/2022-12-31,3,5,2,0.998,0.3,208,nsmallest,137.40156,1.24585,0.99
2000-08-02/2022-12-31,2,9,1,0.999,0.3,208,nsmallest,137.40721,1.24565,1.0
2000-08-04/2022-12-31,3,3,1,0.999,0.3,208,nsmallest,135.5003,1.24494,0.99
2000-08-09/2022-12-31,4,3,1,0.998,0.3,208,nsmallest,134.90774,1.24486,1.0
2000-08-03/2022-12-31,2,13,1,0.998,0.3,208,nsmallest,134.40975,1.24446,0.98
2000-08-02/2022-12-31,8,9,1,0.999,0.3,208,nsmallest,134.28935,1.24437,0.94
2000-08-08/2022-12-31,4,6,1,1.0,0.3,208,nsmallest,133.57807,1.24428,0.99
2000-08-07/2022-12-31,4,6,1,1.0,0.3,208,nsmallest,133.57807,1.24424,0.99
2000-08-02/2022-12-31,7,8,1,1.0,0.3,208,nsmallest,133.92121,1.24422,0.99
2000-08-06/2022-12-31,4,6,1,1.0,0.3,208,nsmallest,133.57807,1.24421,0.99
2000-08-03/2022-12-31,8,8,1,1.0,0.3,208,nsmallest,133.75144,1.24418,0.99
2000-08-08/2022-12-31,5,4,1,0.998,0.3,208,nsmallest,132.50544,1.24383,0.99
2000-08-04/2022-12-31,7,4,1,0.999,0.3,208,nsmallest,131.18132,1.24314,1.0
2000-08-02/2022-12-31,4,6,1,1.0,0.3,208,nsmallest,131.04777,1.24302,1.0
2000-08-05/2022-12-31,2,3,2,0.998,0.3,208,nsmallest,130.70799,1.24297,1.0
2000-08-01/2022-12-31,4,7,1,0.999,0.3,208,nsmallest,130.39611,1.24271,0.97
2000-08-01/2022-12-31,4,9,1,0.998,0.3,208,nsmallest,129.75203,1.24243,1.0
2000-08-01/2022-12-31,5,5,1,0.998,0.3,208,nsmallest,129.54835,1.24235,0.97
2000-08-09/2022-12-31,4,5,2,1.0,0.3,208,nsmallest,127.69145,1.24181,0.99
2000-08-03/2022-12-31,5,3,1,0.999,0.3,208,nsmallest,127.30707,1.24145,0.99
2000-08-02/2022-12-31,5,5,1,1.0,0.3,208,nsmallest,126.87124,1.24122,0.99
2000-08-05/2022-12-31,2,4,2,0.999,0.3,208,nsmallest,126.30233,1.24107,0.98
2000-08-01/2022-12-31,9,8,1,1.0,0.3,208,nsmallest,124.57357,1.24018,0.94
2000-08-08/2022-12-31,4,4,2,1.0,0.3,208,nsmallest,123.85635,1.24009,1.0
2000-08-03/2022-12-31,9,3,1,1.0,0.3,208,nsmallest,124.14227,1.24005,0.99
2000-08-07/2022-12-31,4,4,2,1.0,0.3,208,nsmallest,123.85635,1.24005,1.0
2000-08-06/2022-12-31,4,4,2,1.0,0.3,208,nsmallest,123.85635,1.24002,1.0
2000-08-04/2022-12-31,4,9,1,0.999,0.3,208,nsmallest,123.94086,1.23999,0.94
2000-08-03/2022-12-31,3,3,2,1.0,0.3,208,nsmallest,123.47017,1.23975,1.0
2000-08-08/2022-12-31,2,6,1,0.999,0.3,208,nsmallest,122.95309,1.23968,0.96
2000-08-07/2022-12-31,2,6,1,0.999,0.3,208,nsmallest,122.95309,1.23965,0.96
2000-08-06/2022-12-31,2,6,1,0.999,0.3,208,nsmallest,122.95309,1.23962,0.96
2000-08-05/2022-12-31,4,6,1,0.998,0.3,208,nsmallest,122.15149,1.23922,0.97
2000-08-05/2022-12-31,4,4,2,1.0,0.3,208,nsmallest,120.99691,1.2387,0.98
2000-08-03/2022-12-31,2,8,1,1.0,0.3,208,nsmallest,120.34485,1.23833,0.99
2000-08-01/2022-12-31,4,5,1,0.999,0.3,208,nsmallest,120.34076,1.23827,0.99
2000-08-01/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,120.10508,1.23816,1.0
2000-08-03/2022-12-31,4,7,1,1.0,0.3,208,nsmallest,119.74182,1.23806,1.0
2000-08-02/2022-12-31,8,9,1,0.998,0.3,208,nsmallest,119.79884,1.23805,0.94
2000-08-05/2022-12-31,2,9,1,1.0,0.3,208,nsmallest,119.45338,1.23799,1.0
2000-08-01/2022-12-31,3,4,1,0.998,0.3,208,nsmallest,119.50085,1.23788,1.0
2000-08-05/2022-12-31,3,10,1,0.998,0.3,208,nsmallest,118.95498,1.23776,0.82
2000-08-09/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,118.50206,1.23767,1.0
2000-08-04/2022-12-31,6,3,1,1.0,0.3,208,nsmallest,118.38986,1.23746,0.98
2000-08-03/2022-12-31,8,8,1,0.999,0.3,208,nsmallest,117.95376,1.23723,0.99
2000-08-05/2022-12-31,2,6,2,0.998,0.3,208,nsmallest,117.54078,1.2371,0.99
2000-08-09/2022-12-31,7,3,1,1.0,0.3,208,nsmallest,115.3833,1.2362,0.99
2000-08-07/2022-12-31,5,3,1,1.0,0.3,208,nsmallest,114.87644,1.23589,1.0
2000-08-06/2022-12-31,5,3,1,1.0,0.3,208,nsmallest,114.87644,1.23586,1.0
2000-08-03/2022-12-31,6,3,1,1.0,0.3,208,nsmallest,112.79661,1.23476,1.0
2000-08-09/2022-12-31,3,5,1,0.999,0.3,208,nsmallest,112.20834,1.23466,1.0
2000-08-03/2022-12-31,2,9,1,0.998,0.3,208,nsmallest,112.47974,1.2346,1.0
2000-08-04/2022-12-31,3,4,1,1.0,0.3,208,nsmallest,112.36091,1.23458,1.0
2000-08-08/2022-12-31,2,10,1,0.999,0.3,208,nsmallest,112.08552,1.23457,1.0
2000-08-07/2022-12-31,2,10,1,0.999,0.3,208,nsmallest,112.08552,1.23454,1.0
2000-08-06/2022-12-31,2,10,1,0.999,0.3,208,nsmallest,112.08552,1.23451,1.0
2000-08-01/2022-12-31,7,6,1,0.999,0.3,208,nsmallest,111.78738,1.2342,0.95
2000-08-05/2022-12-31,6,8,1,0.999,0.3,208,nsmallest,110.46598,1.23367,0.99
2000-08-09/2022-12-31,2,9,1,1.0,0.3,208,nsmallest,109.83557,1.23348,1.0
2000-08-07/2022-12-31,6,6,1,1.0,0.3,208,nsmallest,109.93905,1.23347,1.0
2000-08-06/2022-12-31,6,6,1,1.0,0.3,208,nsmallest,109.93905,1.23344,1.0
2000-08-09/2022-12-31,5,8,1,0.999,0.3,208,nsmallest,109.14015,1.23313,0.99
