,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Close,Close,Open,nsmallest,-999,4,3,2,0.999,0.002,1254,0.9954000000000001,0.9841,0.9896,1.0021857142857142,1.0132400000000001,1.0050947368421053,0.9594,0.9392,0.9392,1.0465,1.1449,1.1449,14,5,19
Open,Close,Open,nsmallest,-999,4,3,2,0.999,0.002,1254,0.9954000000000001,0.9841,0.9896,1.0021857142857142,1.0132400000000001,1.0050947368421053,0.9594,0.9392,0.9392,1.0465,1.1449,1.1449,14,5,19
Open,Close,Close,nsmallest,-999,4,2,1,0.999,0.002,1254,0.9898,0.9303,0.9895,0.9872,0.9747199999999999,0.9839157894736843,0.9516,0.9105,0.9105,1.0176,1.119,1.119,14,5,19
Close,Close,Close,nsmallest,-999,4,2,1,0.999,0.002,1254,0.9898,0.9303,0.9895,0.9872,0.9747199999999999,0.9839157894736843,0.9516,0.9105,0.9105,1.0176,1.119,1.119,14,5,19
Close,Close,Close,nsmallest,-999,2,3,1,0.999,0.002,1254,0.9897499999999999,0.9835,0.9894,0.9809571428571429,0.9806000000000001,0.9808631578947368,0.9412,0.8451,0.8451,0.9934,1.1548,1.1548,14,5,19
Open,Close,Close,nsmallest,-999,2,3,1,0.999,0.002,1254,0.9897499999999999,0.9835,0.9894,0.9809571428571429,0.9806000000000001,0.9808631578947368,0.9412,0.8451,0.8451,0.9934,1.1548,1.1548,14,5,19
Open,Close,Close,nsmallest,-999,3,2,2,0.999,0.002,1254,0.9889,0.9952,0.989,0.9986857142857143,0.9945999999999999,0.9976105263157894,0.985,0.9154,0.9154,1.0375,1.1256,1.1256,14,5,19
Close,Close,Close,nsmallest,-999,3,2,2,0.999,0.002,1254,0.9889,0.9952,0.989,0.9986857142857143,0.9945999999999999,0.9976105263157894,0.985,0.9154,0.9154,1.0375,1.1256,1.1256,14,5,19
Open,Close,Open,nsmallest,-999,4,3,1,0.999,0.002,1254,0.9843,0.9914,0.9844,0.9847071428571429,1.00342,0.9896315789473684,0.9349,0.9379,0.9349,1.0199,1.0786,1.0786,14,5,19
Close,Close,Open,nsmallest,-999,4,3,1,0.999,0.002,1254,0.9843,0.9914,0.9844,0.9847071428571429,1.00342,0.9896315789473684,0.9349,0.9379,0.9349,1.0199,1.0786,1.0786,14,5,19
