date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2002-01-04/2002-12-31,2002,nsmallest,-99.0,2,4,1,0.999,0.002,1254,120.5599,127.557,0.29
2012-01-05/2012-12-31,2012,nsmallest,-99.0,2,1,1,0.999,0.002,1254,119.5222,126.4463,0.21
2012-01-02/2012-12-31,2012,nsmallest,-99.0,2,1,1,0.999,0.002,1254,119.0451,121.0151,0.21
2023-01-04/2023-06-23,2023,nsmallest,-99.0,4,2,3,0.999,0.002,1254,9.2859,120.0601,0.21
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,1,2,0.999,0.002,1254,9.3928,119.6352,0.31
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,2,1,0.999,0.002,1254,108.7528,116.4498,0.3
2023-01-04/2023-06-23,2023,nsmallest,-99.0,3,2,1,0.999,0.002,1254,8.8664,108.7086,0.22
2012-01-05/2012-12-31,2012,nsmallest,-99.0,2,2,1,0.999,0.002,1254,91.7997,96.8165,0.24
2023-01-06/2023-12-23,2023,nsmallest,-0.3,2,3,2,0.999,0.002,1254,79.1561,94.5278,0.19
2023-01-05/2023-12-23,2023,nsmallest,-0.3,2,2,2,0.999,0.002,1254,74.7852,87.9731,0.26
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,4,1,0.999,0.002,1254,7.9804,84.4688,0.26
2023-01-06/2023-12-23,2023,nsmallest,-0.3,2,1,2,0.999,0.002,1254,69.3023,82.315,0.24
2023-01-06/2023-12-23,2023,nsmallest,-0.3,2,1,3,0.999,0.002,1254,69.1875,82.1731,0.36
2002-01-04/2002-12-31,2002,nsmallest,-99.0,3,3,1,0.999,0.002,1254,77.6284,81.7093,0.27
2012-01-04/2012-12-31,2012,nsmallest,-99.0,2,2,1,0.999,0.002,1254,73.8304,76.7376,0.17
2023-01-06/2023-12-23,2023,nsmallest,-0.3,2,3,3,0.999,0.002,1254,62.1857,73.538,0.35
2010-01-04/2010-12-31,2010,nsmallest,-99.0,3,2,1,0.999,0.002,1254,68.21,71.6865,0.3
2010-01-01/2010-12-31,2010,nsmallest,-99.0,3,2,1,0.999,0.002,1254,68.21,69.2063,0.3
2012-01-05/2012-12-31,2012,nsmallest,-99.0,3,1,2,0.999,0.002,1254,63.6858,66.8777,0.42
2010-01-05/2010-12-31,2010,nsmallest,-99.0,3,1,1,0.999,0.002,1254,61.2327,65.0195,0.17
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,3,1,0.999,0.002,1254,58.2778,61.8372,0.24
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,1,2,0.999,0.002,1254,57.7792,61.3005,0.4
2023-01-05/2023-12-23,2023,nsmallest,-0.3,2,2,3,0.999,0.002,1254,52.0805,60.4358,0.35
2009-01-06/2009-12-31,2009,nsmallest,-99.0,2,1,1,0.999,0.002,1254,54.4638,58.3892,0.23
2023-01-06/2023-12-23,2023,nsmallest,-0.3,3,4,3,0.999,0.002,1254,49.2761,57.7237,0.33
2023-01-05/2023-12-23,2023,nsmallest,-0.3,3,2,3,0.999,0.002,1254,49.1443,56.9041,0.26
2002-01-02/2002-12-31,2002,nsmallest,-99.0,4,3,1,0.999,0.002,1254,54.4292,55.7945,0.33
2023-01-02/2023-06-23,2023,nsmallest,-99.0,3,1,1,0.999,0.002,1254,6.6124,55.2166,0.21
2012-01-02/2012-12-31,2012,nsmallest,-99.0,2,3,1,0.999,0.002,1254,53.5789,54.3164,0.3
2023-01-04/2023-06-23,2023,nsmallest,-99.0,2,2,1,0.999,0.002,1254,6.4156,54.2466,0.21
2004-01-07/2004-12-31,2004,nsmallest,-0.3,3,4,1,0.999,0.002,1254,49.6314,53.1225,0.29
2012-01-06/2012-12-31,2012,nsmallest,-99.0,4,2,1,0.999,0.002,1254,49.9473,52.8788,0.29
2004-01-07/2004-12-31,2004,nsmallest,-99.0,3,4,1,0.999,0.002,1254,48.4179,51.8013,0.29
2019-01-02/2019-12-31,2019,nsmallest,-99.0,2,2,1,0.999,0.002,1254,49.868,51.0911,0.27
2019-01-01/2019-12-31,2019,nsmallest,-99.0,2,2,1,0.999,0.002,1254,49.868,50.542,0.27
2023-01-02/2023-06-23,2023,nsmallest,-99.0,2,1,1,0.999,0.002,1254,6.3179,50.1242,0.13
2002-01-04/2002-12-31,2002,nsmallest,-99.0,2,2,1,0.999,0.002,1254,46.6236,48.7809,0.22
2004-01-05/2004-12-31,2004,nsmallest,-0.3,4,4,1,0.999,0.002,1254,44.6879,46.7323,0.23
2002-01-03/2002-12-31,2002,nsmallest,-99.0,4,3,1,0.999,0.002,1254,45.0983,46.6671,0.31
2011-01-07/2011-12-31,2011,nsmallest,-99.0,3,1,1,0.999,0.002,1254,42.7267,46.1024,0.27
2004-01-05/2004-12-31,2004,nsmallest,-99.0,4,4,1,0.999,0.002,1254,43.87,45.867,0.23
2011-01-03/2011-12-31,2011,nsmallest,-99.0,3,1,1,0.999,0.002,1254,42.7267,44.1916,0.27
2012-01-04/2012-12-31,2012,nsmallest,-99.0,2,1,1,0.999,0.002,1254,42.2885,43.7344,0.15
2010-01-05/2010-12-31,2010,nsmallest,-99.0,2,1,2,0.999,0.002,1254,41.115,43.4048,0.3
2023-01-02/2023-06-23,2023,nsmallest,-99.0,3,3,1,0.999,0.002,1254,5.8898,43.1865,0.16
2011-01-06/2011-12-31,2011,nsmallest,-99.0,4,3,1,0.999,0.002,1254,40.0892,42.7499,0.31
2011-01-04/2011-12-31,2011,nsmallest,-99.0,2,2,1,0.999,0.002,1254,40.3436,42.1386,0.16
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,1,3,0.999,0.002,1254,5.6897,41.0058,0.41
2023-01-02/2023-06-23,2023,nsmallest,-99.0,2,1,3,0.999,0.002,1254,5.7221,40.616,0.41
2013-01-03/2013-12-31,2013,nsmallest,-99.0,2,1,1,0.999,0.002,1254,38.673,39.9632,0.24
2012-01-02/2012-12-31,2012,nsmallest,-99.0,2,4,1,0.999,0.002,1254,39.0982,39.5935,0.24
2023-01-06/2023-12-23,2023,nsmallest,-99.0,2,1,1,0.999,0.002,1254,33.3397,38.4407,0.16
2011-01-04/2011-12-31,2011,nsmallest,-99.0,2,2,2,0.999,0.002,1254,36.6608,38.2488,0.35
2011-01-03/2011-12-31,2011,nsmallest,-99.0,4,1,1,0.999,0.002,1254,36.3589,37.551,0.24
2010-01-06/2010-12-31,2010,nsmallest,-99.0,3,1,1,0.999,0.002,1254,35.0306,37.2679,0.21
2023-01-02/2023-06-23,2023,nsmallest,-99.0,3,3,2,0.999,0.002,1254,5.3676,35.4582,0.21
2010-01-06/2010-12-31,2010,nsmallest,-99.0,2,1,1,0.999,0.002,1254,33.0317,35.1055,0.14
