date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2001-01-05/2001-12-31,2,3,1,0.999,3.10016,3.15174,0.86
2005-01-06/2005-12-31,2,5,2,0.999,3.09027,3.15157,0.91
2022-01-07/2022-12-31,3,10,1,0.997,3.07833,3.14923,0.83
2010-01-04/2010-12-31,4,2,1,0.998,3.10374,3.14541,0.71
2020-01-03/2020-12-31,7,3,1,0.998,3.11968,3.14176,0.92
2001-01-01/2001-12-31,5,5,1,0.997,3.12587,3.13813,0.72
2020-01-02/2020-12-31,7,3,1,0.998,3.11968,3.1319,0.92
2001-01-03/2001-12-31,2,5,1,0.998,3.0992,3.13084,0.81
2002-01-04/2002-12-31,2,2,1,0.998,3.08941,3.1307,1.0
2023-01-02/2023-06-23,7,2,1,0.998,1.7113,3.12954,0.25
2001-01-03/2001-12-31,3,5,1,0.997,3.08967,3.12112,1.0
2001-01-02/2001-12-31,2,5,1,0.998,3.0992,3.12101,0.81
2023-01-04/2023-06-23,6,3,1,0.999,1.69767,3.1178,0.25
2003-01-03/2003-12-31,2,7,1,0.999,3.08596,3.11733,1.0
2010-01-05/2010-12-31,4,2,1,0.998,3.06114,3.11149,0.69
2005-01-06/2005-12-31,4,2,2,0.997,3.04989,3.10967,0.98
2002-01-04/2002-12-31,2,2,1,0.999,3.05432,3.09473,1.0
2023-01-02/2023-06-23,7,2,1,0.997,1.70104,3.08982,0.25
2002-01-03/2002-12-31,6,2,2,0.999,3.0588,3.08966,0.87
2020-01-03/2020-12-31,7,3,1,0.997,3.06389,3.08523,0.92
2002-01-02/2002-12-31,6,2,2,0.999,3.0588,3.08007,0.87
2020-01-02/2020-12-31,7,3,1,0.997,3.06389,3.0757,0.92
2023-01-04/2023-06-23,6,3,1,0.998,1.68581,3.07119,0.25
2014-01-01/2014-12-31,3,3,1,0.999,3.05896,3.07073,0.9
2005-01-06/2005-12-31,2,5,2,0.998,3.00774,3.06596,0.89
2003-01-03/2003-12-31,2,7,1,0.998,3.03082,3.06115,1.0
