date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2001-01-05/2001-12-31,2001,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1384.7257,1538.7756,0.51
2001-01-02/2001-12-31,2001,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1420.428,1485.7954,0.51
2012-01-02/2012-12-31,2012,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1445.5913,1482.1677,0.39
2008-01-02/2008-12-31,2008,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1404.8918,1440.2971,0.36
2008-01-01/2008-12-31,2008,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1404.8918,1411.8833,0.36
2013-01-04/2013-12-31,2013,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1173.0667,1274.845,0.36
2009-01-07/2009-12-31,2009,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1049.5339,1208.3031,0.27
2009-01-02/2009-12-31,2009,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,942.8123,983.6979,0.27
2009-01-01/2009-12-31,2009,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,942.8123,965.2496,0.27
2009-01-06/2009-12-31,2009,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,847.6936,953.2746,0.26
2022-01-07/2022-12-31,2022,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,831.4087,952.6753,0.24
2015-01-06/2015-12-31,2015,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,824.5089,926.7546,0.37
2022-01-04/2022-12-31,2022,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,827.2616,895.348,0.24
2023-01-03/2023-06-23,2023,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,23.8803,877.8994,0.13
2012-01-06/2012-12-31,2012,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,777.8371,857.1315,0.23
2009-01-05/2009-12-31,2009,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,739.9597,814.7994,0.24
2012-01-03/2012-12-31,2012,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,774.732,807.3456,0.22
2013-01-03/2013-12-31,2013,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,723.4088,767.4588,0.4
2022-01-07/2022-12-31,2022,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,672.2408,766.9838,0.58
2018-01-02/2018-12-31,2018,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,693.2959,721.984,0.18
2018-01-01/2018-12-31,2018,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,693.2959,709.0462,0.18
2022-01-04/2022-12-31,2022,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,638.4706,688.9146,0.57
2009-01-05/2009-12-31,2009,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,565.8704,620.67,0.29
2012-01-05/2012-12-31,2012,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,549.6859,592.0707,0.31
