date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit
2023-01-02/2023-06-23,2,7,1,0.995,1.434249368855221,2.1507987043372947
2021-01-04/2021-12-31,3,5,1,0.998,2.116820278018889,2.1355916638166486
2021-01-07/2021-12-31,2,7,1,0.995,2.103433092685327,2.1353470015168896
2021-01-07/2021-12-31,4,3,1,0.995,2.0996005708802983,2.131377613334831
2002-01-07/2002-12-31,4,5,1,0.998,2.0984629631184415,2.1301994077441853
2020-01-03/2020-12-31,2,4,1,0.995,2.1189445722424356,2.1288300842471233
2021-01-06/2021-12-31,5,4,1,0.995,2.0905482984239807,2.117560202826897
2020-01-03/2020-12-31,4,4,2,0.998,2.1077288591992027,2.1174923896445095
2020-01-07/2020-12-31,3,7,1,0.995,2.0898939323929717,2.116885844227894
2021-01-04/2021-12-31,5,2,2,0.995,2.0983450075290286,2.116734095892434
2020-01-02/2020-12-31,4,4,2,0.998,2.107728859199203,2.113132566237916
2020-01-06/2020-12-31,3,7,1,0.995,2.0898939323929717,2.1124805726104445
2021-01-07/2021-12-31,2,7,1,0.998,2.0776554679239903,2.108651644068169
2011-01-05/2011-12-31,4,4,1,0.998,2.080312421245579,2.102654597244918
2011-01-05/2011-12-31,4,4,1,0.995,2.0746314226097877,2.0968289641604634
2020-01-03/2020-12-31,3,4,2,0.998,2.0858261314227216,2.095352528849037
2009-01-07/2009-12-31,5,4,1,0.998,2.0609673602241756,2.0913729791259548
2017-01-06/2017-12-31,2,5,1,0.998,2.062672656718342,2.0888361592239852
2021-01-05/2021-12-31,4,5,2,0.995,2.0625848687289157,2.084476483479726
2003-01-07/2003-12-31,3,7,1,0.998,2.053595538897513,2.083741185304395
2009-01-01/2009-12-31,2,6,1,0.998,2.0765313487223445,2.0817484655018017
2003-01-06/2003-12-31,3,7,1,0.998,2.053595538897513,2.0794842312515764
2020-01-02/2020-12-31,2,7,2,0.998,2.07202244640748,2.07721272908823
2021-01-07/2021-12-31,4,4,1,0.995,2.046790271245064,2.076696417498253
2021-01-07/2021-12-31,4,4,1,0.998,2.0375981807861225,2.067181579933645
2021-01-05/2021-12-31,3,7,1,0.995,2.0429589845415923,2.0643544484670717
2009-01-01/2009-12-31,3,2,1,0.995,2.0576501644221663,2.062755139056266
2020-01-03/2020-12-31,3,5,1,0.995,2.0528184695673772,2.061990231776752
2020-01-02/2020-12-31,3,5,1,0.995,2.0528184695673772,2.0578948429842545
2020-01-07/2020-12-31,5,2,1,0.998,2.0312223340477225,2.056436755949716
2020-01-06/2020-12-31,5,2,1,0.998,2.031222334047723,2.0523224355868908
2020-01-03/2020-12-31,4,4,2,0.995,2.0403174671233857,2.049355783446271
2021-01-07/2021-12-31,4,2,2,0.995,2.0189105765207405,2.0478405118264913
2020-01-03/2020-12-31,4,3,2,0.995,2.0381104458586816,2.047125252387625
2021-01-07/2021-12-31,5,3,1,0.998,2.017769738277336,2.046659898092887
2009-01-01/2009-12-31,3,7,1,0.995,2.0411868821728523,2.0461945637055585
2020-01-02/2020-12-31,4,4,2,0.995,2.0403174671233866,2.0453200233904516
2019-01-01/2019-12-31,4,4,1,0.995,2.039241552845717,2.0442377682908237
2017-01-03/2017-12-31,4,4,1,0.995,2.0311288580935236,2.044091409588822
